date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-09-16,sh.603939,47.99,52.15,47.8,52.13,1305702.0,64602715.0,3,3.264255,1,9.9557,51.812272,5.942278,3.347428,81.202878,0.0
2015-09-17,sh.603939,52.1,55.3,51.42,51.54,1751961.0,93423692.0,3,4.379903,1,-1.1318,51.225868,5.875024,3.309542,80.283835,0.0
2015-09-18,sh.603939,52.0,53.47,51.6,52.82,1352171.0,70854426.0,3,3.380428,1,2.4835,52.498066,6.020931,3.391735,82.27769,0.0
2015-09-21,sh.603939,52.0,58.1,51.43,58.1,2084576.0,117557562.0,3,5.2114400000000005,1,9.9962,57.745885,6.622796000000001,3.73078,90.502344,0.0
2015-09-22,sh.603939,59.97,61.5,57.38,60.98,3084651.0,184574275.0,3,7.711627,1,4.957,60.608332,6.951086,3.915714,94.988519,0.0
2015-09-23,sh.603939,59.04,64.28,58.6,61.98,2267024.0,138279223.0,3,5.66756,1,1.6399,61.602237,7.065076,3.979927,96.546218,0.0
2015-09-24,sh.603939,61.3,63.6,61.3,63.24,2141241.0,133887968.0,3,5.353103,1,2.0329,62.85455699999999,7.208702000000001,4.060836,98.50892,0.0
2015-09-25,sh.603939,62.6,62.6,58.52,59.87,2362142.0,142351508.0,3,5.905355,1,-5.3289,59.505097,6.824557,3.844437,93.259472,0.0
2015-09-28,sh.603939,59.0,64.28,58.24,64.09,1477746.0,91788271.0,3,3.694365,1,7.0486,63.699377,7.305594,4.115417,99.832964,0.0
2015-09-29,sh.603939,62.49,63.5,61.51,62.39,1198842.0,74978395.0,3,2.997105,1,-2.6525,62.009738,7.111811,4.006254,97.184875,0.0
2015-09-30,sh.603939,62.2,62.98,60.35,60.66,723698.0,44364056.0,3,1.809245,1,-2.7729,60.290282,6.914609,3.895166,94.490055,0.0
2015-10-08,sh.603939,62.68,65.2,62.68,63.19,1816049.0,116143953.0,3,4.540123,1,4.1708,62.804862,7.203003,4.057625,98.431035,0.0
2015-10-09,sh.603939,62.5,65.28,62.5,64.12,1236678.0,77977019.0,3,3.091695,1,1.4718,63.72919399999999,7.309013,4.117343,99.879695,0.0
2015-10-12,sh.603939,64.51,67.7,64.0,65.9,2111243.0,139041198.0,3,5.278107,1,2.776,65.498345,7.511914999999999,4.231642,102.6524,0.0
2015-10-13,sh.603939,64.71,68.53,64.6,67.66,1284814.0,86024249.0,3,3.212035,1,2.6707,67.247618,7.712536999999999,4.344657,105.393952,0.0
2015-10-14,sh.603939,67.66,67.66,64.35,64.82,1278478.0,84375152.0,3,3.196195,1,-4.1975,64.424927,7.388806,4.162292,100.970085,0.0
2015-10-15,sh.603939,64.2,69.88,64.18,69.53,1840838.0,123206000.0,3,4.602094999999999,1,7.2663,69.10622,7.925697,4.464736,108.30685,0.0
